"","Survived","Pclass","Sex","Age","Fare","Embarked","Deck_Level","Title","total_family"
"1",0,3,"male",22,7.25,"S","S","Mr",1
"2",1,1,"female",38,71.2833,"C","C","Mrs",1
"3",1,3,"female",26,7.925,"S","S","Miss",0
"4",1,1,"female",35,53.1,"S","C","Mrs",1
"5",0,3,"male",35,8.05,"S","E","Mr",0
"6",0,3,"male",25,8.4583,"Q","S","Mr",0
"7",0,1,"male",54,51.8625,"S","E","Mr",0
"8",0,3,"male",2,21.075,"S","S","Master",4
"9",1,3,"female",27,11.1333,"S","S","Mrs",2
"10",1,2,"female",14,30.0708,"C","M","Mrs",1
"11",1,3,"female",4,16.7,"S","G","Miss",2
"12",1,1,"female",58,26.55,"S","C","Miss",0
"13",0,3,"male",20,8.05,"S","E","Mr",0
"14",0,3,"male",39,31.275,"S","S","Mr",6
"15",0,3,"female",14,7.8542,"S","S","Miss",0
"16",1,2,"female",55,16,"S","M","Mrs",0
"17",0,3,"male",2,29.125,"Q","S","Master",5
"18",1,2,"male",30,13,"S","D","Mr",0
"19",0,3,"female",31,18,"S","S","Mrs",1
"20",1,3,"female",21.5,7.225,"C","S","Mrs",0
"21",0,2,"male",35,26,"S","F","Mr",0
"22",1,2,"male",34,13,"S","D","Mr",0
"23",1,3,"female",15,8.0292,"Q","S","Miss",0
"24",1,1,"male",28,35.5,"S","A","Mr",0
"25",0,3,"female",8,21.075,"S","S","Miss",4
"26",1,3,"female",38,31.3875,"S","S","Mrs",6
"27",0,3,"male",25,7.225,"C","S","Mr",0
"28",0,1,"male",19,263,"S","C","Mr",5
"29",1,3,"female",21.5,7.8792,"Q","S","Miss",0
"30",0,3,"male",25,7.8958,"S","S","Mr",0
"31",0,1,"male",40,27.7208,"C","B","Don",0
"32",1,1,"female",35,146.5208,"C","B","Mrs",1
"33",1,3,"female",21.5,7.75,"Q","F","Miss",0
"34",0,2,"male",66,10.5,"S","F","Mr",0
"35",0,1,"male",28,82.1708,"C",NA,"Mr",1
"36",0,1,"male",42,52,"S","C","Mr",1
"37",1,3,"male",25,7.2292,"C","S","Mr",0
"38",0,3,"male",21,8.05,"S","E","Mr",0
"39",0,3,"female",18,18,"S","S","Miss",2
"40",1,3,"female",14,11.2417,"C","S","Miss",1
"41",0,3,"female",40,9.475,"S","S","Mrs",1
"42",0,2,"female",27,21,"S","M","Mrs",1
"43",0,3,"male",25,7.8958,"C","S","Mr",0
"44",1,2,"female",3,41.5792,"C","M","Miss",3
"45",1,3,"female",19,7.8792,"Q","S","Miss",0
